Shares (Basic)_balance,Shares (Diluted)_balance,"Cash, Cash Equivalents & Short Term Investments_balance",Accounts & Notes Receivable_balance,Total Current Assets_balance,"Property, Plant & Equipment, Net_balance",Other Long Term Assets_balance,Total Noncurrent Assets_balance,Total Assets_balance,Payables & Accruals_balance,Total Current Liabilities_balance,Long Term Debt_balance,Total Noncurrent Liabilities_balance,Total Liabilities_balance,Share Capital & Additional Paid-In Capital_balance,Retained Earnings_balance,Total Equity_balance,Total Liabilities & Equity_balance,Shares (Basic)_cashflow,Shares (Diluted)_cashflow,Net Income/Starting Line_cashflow,Depreciation & Amortization_cashflow,Non-Cash Items_cashflow,Change in Working Capital_cashflow,Net Cash from Operating Activities_cashflow,Change in Fixed Assets & Intangibles_cashflow,Net Cash from Investing Activities_cashflow,Net Cash from Financing Activities_cashflow,Net Change in Cash_cashflow,Ticker,Publish Date,Shares (Basic)_income,Shares (Diluted)_income,Revenue_income,Cost of Revenue_income,Gross Profit_income,Operating Expenses_income,Operating Income (Loss)_income,Non-Operating Income (Loss)_income,"Interest Expense, Net_income","Pretax Income (Loss), Adj._income",Pretax Income (Loss)_income,"Income Tax (Expense) Benefit, Net_income",Income (Loss) from Continuing Operations_income,Net Income_income,Net Income (Common)_income,Current_Ratio,Gross_Profit_Margin,Operating_Profit_Margin,Net_Profit_Margin,ROA,ROE,Debt_to_Equity_Ratio,Debt_Ratio,Asset_Turnover_Ratio,EPS,Fiscal Period_Q2,Fiscal Period_Q3,Fiscal Period_Q4,target,"Cash, Cash Equivalents & Short Term Investments_balance_scaled",Accounts & Notes Receivable_balance_scaled,Total Current Assets_balance_scaled,"Property, Plant & Equipment, Net_balance_scaled",Other Long Term Assets_balance_scaled,Total Noncurrent Assets_balance_scaled,Total Current Liabilities_balance_scaled,Long Term Debt_balance_scaled,Total Noncurrent Liabilities_balance_scaled,Total Liabilities_balance_scaled,Total Equity_balance_scaled,Net Income_income_scaled,Operating Income (Loss)_income_scaled,"Interest Expense, Net_income_scaled","Pretax Income (Loss), Adj._income_scaled",Pretax Income (Loss)_income_scaled,"Income Tax (Expense) Benefit, Net_income_scaled",Income (Loss) from Continuing Operations_income_scaled,Gross Profit_income_scaled,Operating Expenses_income_scaled,Shares (Basic)_cashflow_scaled,Shares (Diluted)_cashflow_scaled,Net Income/Starting Line_cashflow_scaled,Depreciation & Amortization_cashflow_scaled,Non-Cash Items_cashflow_scaled,Change in Working Capital_cashflow_scaled,Net Cash from Operating Activities_cashflow_scaled,Change in Fixed Assets & Intangibles_cashflow_scaled,Net Cash from Investing Activities_cashflow_scaled,Net Cash from Financing Activities_cashflow_scaled,Net Change in Cash_cashflow_scaled
18282532000.0,18405520000.0,94614000000.0,26448556303.0,134973000000.0,37636000000.0,33634000000.0,187266000000.0,322239000000,29115000000.0,89753755461.0,84987933088.0,51143000000.0,225783000000.0,43371000000.0,53724000000.0,96456000000,322239000000,18282532000.0,18405520000.0,10044000000.0,2933000000.0,1582000000.0,-2795141152.0,11636000000,-2000000000.0,27502000000.0,-26804000000.0,12334000000,AAPL,2019-07-31,18282532000.0,18405520000.0,53809000000.0,-33582000000.0,20227000000.0,-8683000000.0,11544000000.0,367000000.0,323475824.0,11911000000.0,11911000000.0,-1867000000.0,10044000000,10044000000,10044000000,1.5038145123481632,37.590365923916075,21.45366016837332,18.666022412607557,3.11694115237448,10.413038069171437,2.340787509330679,0.7006693789392345,0.16698475355248743,0.5493768587414478,False,True,False,0.1721045450527796,0.29361436697606436,0.08207745276952821,0.41885991453548455,0.1167952979000059,0.10437594456288656,0.5811400854645155,0.2785316347834992,0.26374192164201105,0.1587113912344564,0.7006693789392345,0.29933062106076547,1.0,1.1493428912783752,0.032205876543209874,1.1858821186778177,1.1858821186778177,-0.1858821186778176,1.0,2.013839107925129,-0.8644962166467542,0.33976717649463845,0.3420528164433459,0.18666022412607555,0.054507610251073244,0.02940028619747626,-0.051945606720065415,0.21624635284060287,-0.03716850341021019,0.5111040903938003,-0.49813228270363696,0.22921816053076624
17963248000.0,18081496000.0,100557000000.0,45808150798.0,162819000000.0,37378000000.0,32978000000.0,175697000000.0,338516000000,46236000000.0,105722469480.0,91778108646.0,50503000000.0,248028000000.0,45174000000.0,45898000000.0,90488000000,338516000000,17963248000.0,18081496000.0,13686000000.0,3179000000.0,545000000.0,2163368812.0,19910000000,-2777000000.0,-798000000.0,-21039000000.0,-1927000000,AAPL,2019-10-31,17963248000.0,18081496000.0,64040000000.0,-39727000000.0,24313000000.0,-8688000000.0,15625000000.0,502000000.0,296322145.0,16127000000.0,16127000000.0,-2441000000.0,13686000000,13686000000,13686000000,1.5400605074856033,37.96533416614616,24.39881324172392,21.37101811367895,4.042940363232462,15.124657413137655,2.7410043320661304,0.7326921031797611,0.1891786503444446,0.7618889412426973,False,False,True,0.24794696517286519,0.2970524288364509,0.13532048942442898,0.48097874251143224,0.11041723286343924,0.09741932434508266,0.5190212574885678,0.3123115878717697,0.27111896822011367,0.1491894031596734,0.7326921031797611,0.2673078968202389,1.0,1.1416776267718838,0.021651479248867456,1.1783574455648107,1.1783574455648107,-0.17835744556481076,1.0,1.7764869209411076,-0.634809294169224,0.2805004372267333,0.282346908182386,0.2137101811367895,0.04964084946908182,0.008510306058713304,0.033781524234853214,0.3108994378513429,-0.04336352279825109,-0.012460961898813242,-0.328529044347283,-0.03009056839475328
17660160000.0,17818416000.0,107162000000.0,39958772018.0,163231000000.0,44373790048.0,40457000000.0,177387000000.0,340618000000,45111000000.0,102391247264.0,100163006968.0,55848000000.0,251087000000.0,45972000000.0,43977000000.0,89531000000,340618000000,17660160000.0,17818416000.0,22236000000.0,2816000000.0,1219000000.0,4245000000.0,30516000000,-2107000000.0,-13668000000.0,-25407000000.0,-8559000000,AAPL,2020-01-29,17660160000.0,17818416000.0,91819000000.0,-56602000000.0,35217000000.0,-9648000000.0,25569000000.0,349000000.0,259779231.0,25918000000.0,25918000000.0,-3682000000.0,22236000000,22236000000,22236000000,1.5941889991742566,38.35480673934589,27.84717759940753,24.21720994565395,6.5281341561514665,24.836090292747766,2.804469960125543,0.7371512955862579,0.26956590667551333,1.259105240269624,False,False,False,-0.11076990730075653,0.31461050208738234,0.11731256721018854,0.47922012342271986,0.13027435440287946,0.1187752849232865,0.5207798765772801,0.3006043346622903,0.29406257733883706,0.16396080066232555,0.7371512955862579,0.2628487044137421,1.0,1.1498920669185104,0.011682822045331893,1.1655873358517719,1.1655873358517719,-0.1655873358517719,1.0,1.5837830545062062,-0.4338909875876956,0.19233666234657315,0.1940602271860944,0.2421720994565395,0.030669033642274475,0.013276119321709015,0.046232261296681516,0.3323495137172045,-0.02294732027140352,-0.14885807948246005,-0.2767074352802797,-0.09321600104553524
17440404000.0,17618764000.0,94051000000.0,30706857842.0,143753000000.0,43926387505.0,41965000000.0,176647000000.0,320400000000,32421000000.0,96306002320.0,97358318119.0,56795000000.0,241975000000.0,48032000000.0,33182000000.0,78425000000,320400000000,17440404000.0,17618764000.0,11249000000.0,2786000000.0,1278000000.0,-2002000000.0,13311000000,-1853000000.0,9013000000.0,-20940000000.0,1384000000,AAPL,2020-05-01,17440404000.0,17618764000.0,58313000000.0,-35943000000.0,22370000000.0,-9517000000.0,12853000000.0,282000000.0,292572937.0,13135000000.0,13135000000.0,-1886000000.0,11249000000,11249000000,11249000000,1.4926691642992913,38.36194330595236,22.041397287054345,19.290724195290927,3.510923845193508,14.34364042078419,3.0854319413452345,0.7552278401997503,0.18200062421972535,0.6449965264566119,True,False,False,0.5115005507422405,0.29354244694132337,0.09583913184144818,0.448667290886392,0.1370985877184769,0.1309769038701623,0.551332709113608,0.3005805315855181,0.3038649129806492,0.17726279650436955,0.7552278401997503,0.2447721598002497,1.0,1.1425904524846653,0.02600879518179394,1.1676593474975554,1.1676593474975554,-0.16765934749755534,1.0,1.988621210774291,-0.8460307582896257,0.2990826059369266,0.30214127210056074,0.1929072419529093,0.04777665357638949,0.021916210793476585,-0.034331967142832646,0.22826813917994274,-0.03177679076706738,0.15456244748169362,-0.3590965993860717,0.023733987275564625
17250292000.0,17419152000.0,93025000000.0,32115801097.0,140065000000.0,43958613351.0,41000000000.0,177279000000.0,317344000000,35325000000.0,95367670697.0,102196519445.0,55696000000.0,245062000000.0,48696000000.0,24136000000.0,72282000000,317344000000,17250292000.0,17419152000.0,11253000000.0,2752000000.0,2696000000.0,-430000000.0,16271000000,-1565000000.0,-5165000000.0,-19116000000.0,-8010000000,AAPL,2020-07-31,17250292000.0,17419152000.0,59685000000.0,-37005000000.0,22680000000.0,-9589000000.0,13091000000.0,46000000.0,203572421.0,13137000000.0,13137000000.0,-1884000000.0,11253000000,11253000000,11253000000,1.468684292867038,37.99949736114602,21.933484124989526,18.85398341291782,3.5459942522940406,15.568191250933843,3.3903599789712513,0.7722282444287587,0.18807666128869618,0.6523367836324162,False,True,False,0.02546669290755421,0.29313615508722396,0.10120185381478773,0.44136646667338914,0.13852038592505295,0.12919733790460824,0.5586335333266109,0.3005182725906272,0.32203703061976907,0.1755067056569527,0.7722282444287587,0.2277717555712413,1.0,1.1633342219852483,0.018090502177197192,1.1674220207944548,1.1674220207944548,-0.1674220207944548,1.0,2.0154625433217808,-0.8521283213365325,0.2890222333919745,0.2918514199547625,0.18853983412917819,0.04610873753874508,0.04517047834464271,-0.007204490240428918,0.27261455977213706,-0.026220993549468042,-0.0865376560274776,-0.32028147775823074,-0.13420457401357125
17057620000.0,17256524000.0,90943000000.0,37437968608.0,143713000000.0,45397188029.0,42522000000.0,180175000000.0,323888000000,42296000000.0,105282814484.0,107263026898.0,54490000000.0,258549000000.0,50779000000.0,14966000000.0,65339000000,323888000000,17057620000.0,17256524000.0,12673000000.0,2702000000.0,1324000000.0,3877000000.0,20576000000,-1784000000.0,5531000000.0,-21357000000.0,4750000000,AAPL,2020-10-30,17057620000.0,17256524000.0,64698000000.0,-40009000000.0,24689000000.0,-9914000000.0,14775000000.0,126000000.0,133836952.0,14901000000.0,14901000000.0,-2228000000.0,12673000000,12673000000,12673000000,1.3650185997054656,38.16037590033695,22.83687285542057,19.587931620761072,3.9127723163562713,19.395766693705138,3.957039440456695,0.7982666847799239,0.19975423603220865,0.7429524165739417,False,False,True,0.2343508446478324,0.28078533320160054,0.11558924260238107,0.4437120239094996,0.1401632293539742,0.13128612359828087,0.5562879760905004,0.3250593244701872,0.33117320462011557,0.16823716840389272,0.7982666847799239,0.20173331522007606,1.0,1.165864436202951,0.01056079476051448,1.1758068334253926,1.1758068334253926,-0.17580683342539258,1.0,1.9481575001972697,-0.7822930639943186,0.26364988098550185,0.26672422640576215,0.19587931620761073,0.04176326934372005,0.020464311106989395,0.059924572629756714,0.3180314692880769,-0.027574268138118644,0.08548950508516492,-0.3301029398126681,0.07341803456057375
16935119000.0,17113688000.0,76826000000.0,58498393361.0,154106000000.0,37933000000.0,43270000000.0,199948000000.0,354054000000,63846000000.0,132332988030.0,99064153659.0,56042000000.0,287830000000.0,51744000000.0,14301000000.0,66224000000,354054000000,16935119000.0,17113688000.0,28755000000.0,2666000000.0,1987000000.0,5355000000.0,38763000000,-3500000000.0,-8584000000.0,-32249000000.0,-2070000000,AAPL,2021-01-28,16935119000.0,17113688000.0,111439000000.0,-67111000000.0,44328000000.0,-10794000000.0,33534000000.0,45000000.0,109141075.0,33579000000.0,33579000000.0,-4824000000.0,28755000000,28755000000,28755000000,1.1645320059202777,39.777815665969726,30.091799100853382,25.803354301456405,8.12164246131946,43.420814206330036,4.346309495047112,0.8129550859473413,0.3147514220994538,1.6979508676614554,False,False,False,-0.024147526078478143,0.21698949877702273,0.165224495023358,0.4352612878261508,0.10713902399069068,0.12221299575770928,0.5647387121738492,0.3737649850870206,0.27979956068565814,0.15828658905138765,0.8129550859473413,0.18704491405265863,1.0,1.1661971830985915,0.003795551208485481,1.1677621283255086,1.1677621283255086,-0.1677621283255086,1.0,1.5415753781950965,-0.37537819509650494,0.1519676145694057,0.15357000690960973,0.25803354301456405,0.023923402040578252,0.01783038254112115,0.04805319502149158,0.347840522617755,-0.031407317007510836,-0.07702868834070657,-0.28938701890720486,-0.018575184630156408
16753476000.0,16929157000.0,69834000000.0,32968668408.0,121465000000.0,37815000000.0,43339000000.0,215693000000.0,337158000000,40127000000.0,106280322372.0,108548363927.0,52953000000.0,267980000000.0,54203000000.0,15261000000.0,69178000000,337158000000,16753476000.0,16929157000.0,23630000000.0,2797000000.0,1333000000.0,-3779000000.0,23981000000,-2269000000.0,-10368000000.0,-11326000000.0,2287000000,AAPL,2021-04-29,16753476000.0,16929157000.0,89584000000.0,-51505000000.0,38079000000.0,-10576000000.0,27503000000.0,508000000.0,48070337.0,28011000000.0,28011000000.0,-4381000000.0,23630000000,23630000000,23630000000,1.1428738386288568,42.50647437042329,30.700794784782996,26.377478121093052,7.008583512774426,34.15825840585157,3.873774899534534,0.7948202326505673,0.26570332010511394,1.410453567964045,True,False,False,0.0929532443210841,0.2071254426707953,0.09778403124944388,0.36026136114225377,0.11215809798373463,0.12854210785447773,0.6397386388577462,0.3152240859537665,0.32195102571198075,0.15705692879896072,0.7948202326505673,0.2051797673494326,1.0,1.163901819720694,0.0020342927211172237,1.1853999153618282,1.1853999153618282,-0.18539991536182818,1.0,1.6114684722809987,-0.4475666525603047,0.18701415431327023,0.1889752299517771,0.2637747812109305,0.031222093230934094,0.014879889265940346,-0.042183872120021434,0.26769289158778353,-0.02532818360421504,-0.11573495267011967,-0.12642882657617432,0.02552911234148955
16844298000.0,17021423000.0,61696000000.0,33860932900.0,114423000000.0,38615000000.0,44854000000.0,215417000000.0,329840000000,40409000000.0,107663596215.0,105701119760.0,52054000000.0,265560000000.0,54989000000.0,9233000000.0,64280000000,329840000000,16844298000.0,17021423000.0,21744000000.0,2832000000.0,1215000000.0,-4697000000.0,21094000000,-2093000000.0,3572000000.0,-29396000000.0,-4730000000,AAPL,2021-07-28,16844298000.0,17021423000.0,81434000000.0,-46179000000.0,35255000000.0,-11129000000.0,24126000000.0,243000000.0,53880785.0,24369000000.0,24369000000.0,-2625000000.0,21744000000,21744000000,21744000000,1.0627826305513866,43.292727853230836,29.626445956234498,26.701377802883318,6.592287169536745,33.82700684505289,4.131300560049782,0.8051176327916566,0.24688940092165898,1.2908819352400438,False,True,False,0.05392896069922282,0.18704826582585496,0.10265866147222896,0.3469045597865632,0.11707191365510551,0.13598714528256123,0.6530954402134368,0.326411582024618,0.3204617989328159,0.15781591074460344,0.8051176327916566,0.19488236720834343,1.0,1.1095474613686533,0.0024779610467255335,1.1207229580573952,1.1207229580573952,-0.12072295805739515,1.0,1.6213668138337012,-0.5118193524650478,0.20684601026598226,0.20902108455927498,0.2670137780288332,0.03477662892649262,0.01492005796104821,-0.057678610899624234,0.2590318540167498,-0.025701795318908566,0.04386374241717219,-0.3609794434756981,-0.05808384704177616
16391724000.0,16519291000.0,62639000000.0,51468014371.0,134836000000.0,49502261624.0,48849000000.0,216166000000.0,351002000000,54763000000.0,125481000000.0,119334103723.0,162431000000.0,287912000000.0,57365000000.0,5562000000.0,63090000000,351002000000,16391724000.0,16519291000.0,20551000000.0,2989000000.0,-1550000000.0,-1790000000.0,20200000000,-3223000000.0,835000000.0,-20382000000.0,653000000,AAPL,2021-10-29,16391724000.0,16519291000.0,83360000000.0,-48186000000.0,35174000000.0,-11388000000.0,23786000000.0,-538000000.0,-13002909.0,23248000000.0,23248000000.0,-2697000000.0,20551000000,20551000000,20551000000,1.0745531195957954,42.19529750479846,28.534069097888676,24.65331094049904,5.854952393433656,32.57410049136155,4.563512442542399,0.8202574344305731,0.237491524264819,1.2537424373421613,False,False,True,0.1684584056177021,0.1784576726058541,0.14663168406732724,0.3841459592822833,0.1410312808018188,0.13917014717864856,0.6158540407177167,0.35749368949464677,0.33998126427484743,0.4627637449359263,0.8202574344305731,0.17974256556942694,1.0,1.1574132645613353,-0.0006327141744927254,1.1312344898058488,1.1312344898058488,-0.13123448980584887,1.0,1.71154688336334,-0.5541336188020047,0.19663776391554702,0.1981680782149712,0.2465331094049904,0.03585652591170825,-0.01859404990403071,-0.021473128598848368,0.2423224568138196,-0.03866362763915547,0.01001679462571977,-0.24450575815738965,0.007833493282149712
